Course Name,Link,Duration(Hr),Link_1
Cosmos DB,https://hclcontent.percipio.com/books/e56497e5-69e2-42cd-93d1-119331fd958b,1.5,Percipio Book Cosmos DB for MongoDB Developers: Migrating to Azure Cosmos DB and Using the MongoDB API 
Cosmos DB,https://hclcontent.percipio.com/journey/a8848fb6-ef4a-4ec0-b8ab-aeb7036eb46f,6, Percipio Journey Working with Azure Cosmos DB
Kustos,https://hclcontent.percipio.com/videos/8fef3a85-561c-41bb-a1e8-d2f67af8b217,0.13,Percipio Video Basic KQL (Kusto Query Language) for AI Analysis
Kustos,https://hclcontent.percipio.com/linked-contents/a2fcef83-a38f-48b8-8653-6e703a5f8f2b/landing,0.5,Percipio Course Work with data in Azure Sentinel using Kusto Query Language
Kustos,https://hclcontent.percipio.com/linked-contents/dc644fa9-7fb5-4bee-b204-783e22bef7ca/landing,1,Percipio Course Write your first query with Kusto Query Language
Kustos,https://hclcontent.percipio.com/videos/c466c828-1a2c-4eef-9883-3d0aa394d239,0.13,Percipio Video Querying Log Analytics Logs Using Kusto (KQL)
Logic App,https://hclcontent.percipio.com/courses/f1af9d57-05fe-48f2-95ab-0d437d7a5bd2/videos/a180dd9a-2baa-4885-ad2a-2faeae420a3c,1,Percipio Course Developing Solutions for Microsoft Azure: Developing an App Service Logic App
Logic App,https://hclcontent.percipio.com/courses/d2a14f30-1809-11e9-9cb3-73676ac7ed55/videos/95279690-180a-11e9-9cb3-73676ac7ed55,1,Percipio Course Azure Developer: Working with Azure Logic Apps
Logic App,https://hclcontent.percipio.com/courses/e69c4f70-bba2-49da-a9ff-34663b118d92/videos/2c9bdc61-bb66-4244-b7fd-8bbe224b0481,0.5,Percipio Course Microsoft Azure Architect Technologies: DevOps & Azure
MS Fabric,https://hclcontent.percipio.com/channels/c0c3e052-964e-4391-b3f4-a790099f354c?tab=WATCH,22,Percipio Channel Microsoft Fabric
MS Fabric,https://hclcontent.percipio.com/journey/f087df14-90ba-442d-9ec5-97a45e08308f,24,Percipio
MS Fabric,https://hclcontent.percipio.com/books/be318acb-0bf4-44b4-b6bb-8f87d49e1d0a,3,Percipio Book Mastering Microsoft Fabric: SAASification of Analytics
SSAS & SSIS,https://hclcontent.percipio.com/books/bd0cb413-6187-4d0d-a0f2-e95ec80d0c6e,,"Percipio Book SQL Server Analytical Toolkit: Using Windowing, Analytical, Ranking, and Aggregate Functions for Data and Statistical Analysis"
